                  user                                           modified                                            added  modified_centrality  all_centrality  modified_proximity  all_proximity  modified_changeExtent  all_changeExtent
200                 mu                                       [23, 22, 74]                                               []             2.295455       19.795455            2.942857      39.131400               0.000000          0.050000
201                 mu                                           [26, 27]                                               []             0.431818       19.795455            1.250000      37.761083               0.000000          0.047619
202               nico                                               [23]                                               []             0.886364       19.840909            0.062500       6.740267               0.179104          2.771038
203               nico                                               [15]                                               []             0.840909       19.863636            0.111111       5.873418               0.298246          2.542250
204               nico                                           [22, 24]                                               []             1.363636       19.863636            0.889076       5.813974               0.256158          2.205152
205               nico                                                [5]                                               []             0.863636       19.909091            0.130435       7.790616               0.200000          1.915686
206               nico                                                [5]                                               []             0.863636       19.909091            0.000000       7.008831               0.000000          1.695310
207               nico                                                [5]                                               []             0.863636       19.909091            0.000000       8.466431               0.000000          1.676838
208               nico                                        [5, 11, 18]                                               []             2.136364       19.909091            0.642857       9.742809               0.249275          1.659903
209             mccabe                                                [5]                                            [108]             0.863636       19.931818            0.000000       0.000000               0.346154          2.860577
210               nico                                              [108]                                               []             0.043478       19.152174            0.666667      13.146016               0.004785          3.401914
211               nico                                              [108]                                               []             0.065217       19.173913            0.571429      10.288167               0.000000          2.390476
212               nico                                              [108]                                               []             0.065217       19.173913            0.285714       8.099661               0.000000          2.050553
213               nico                                       [22, 24, 15]                                               []             2.152174       19.173913            1.686603       6.125043               0.000000          1.877358
214   filippo.valsorda                                        [5, 23, 22]                                               []             2.478261       19.173913            0.000000       0.000000               0.685446          2.830986
215  santiago.lapresta                                                [5]                                               []             0.872340       18.829787            0.000000       0.000000               0.345794          2.831776
216               nico                                                [5]                                               []             0.875000       18.458333            0.636364       8.620597               0.571429          3.083414
217               nico                                               [78]                                               []             0.312500       18.458333            0.000000       6.973385               0.023148          2.161376
218               nico                                                [5]                                               []             0.875000       18.479167            0.000000       6.250696               0.000000          1.955914
219               nico                                               [23]                                               []             0.854167       18.479167            0.931034       8.232103               0.125000          1.841514
220               nico                                  [22, 102, 28, 15]                                               []             2.708333       18.479167            1.717375       8.077027               0.433790          1.643836
221               nico                                  [22, 102, 28, 15]                                               []             2.750000       18.520833            2.821825      13.465462               0.000000          1.204545
222               nico                                                [5]                                               []             0.875000       18.520833            0.666667      16.280621               0.000000          1.199095
223  santiago.lapresta                                                [5]                                               []             0.875000       18.520833            0.000000       3.657437               0.571429          3.012870
224               nico                                    [5, 23, 22, 74]                                               []             3.062500       18.520833            2.582487      14.571971               2.062780          3.188341
225               nico                                               [26]                                               []             0.270833       18.541667            0.222222      16.457127               0.026786          1.120536
226               nico                                                [5]                                               []             0.875000       18.562500            0.466667      12.733657               0.000000          1.088889
227               nico                                                [9]                                               []             0.645833       18.562500            0.135593      13.466892               0.199115          1.084071
228  santiago.lapresta                                                [5]                                               []             0.875000       18.583333            0.000000       6.341248               0.750000          3.159692
229               nico                                                [5]                                               []             0.875000       18.583333            0.111111      13.911203               1.000000          1.877193
230               nico                                               [15]                                               []             0.770833       18.583333            1.000000      14.472548               0.000000          0.873362
231               nico                                                [5]                                               []             0.875000       18.583333            0.111111      14.605869               0.000000          0.869565
232               nico                                               [15]                                               []             0.770833       18.583333            1.000000      14.457748               0.000000          0.865801
233               nico                                               [74]                                               []             0.625000       18.583333            0.600000      14.556374               0.000000          0.862069
234  santiago.lapresta                                                [5]                                               []             0.875000       18.583333            0.000000       8.281804               0.600000          2.960515
235               nico                                               [15]                                               []             0.770833       18.583333            1.000000      11.579417               0.000000          1.521368
236               nico                                               [15]                                               []             0.770833       18.583333            0.750000      12.829748               0.000000          1.351064
237           wlangfor                                            [5, 31]                                               []             1.104167       18.583333            0.000000       0.000000               0.377119          2.699153
238               nico                                                [5]                                               []             0.877551       18.244898            0.166667      14.510753               0.500000          1.348101
239               nico                                               [15]                                               []             0.755102       18.244898            0.666667      14.442791               0.000000          0.844538
240               nico                                               [15]                                               []             0.755102       18.244898            0.333333      14.372438               0.000000          0.841004
241               nico                                               [15]                                               []             0.755102       18.244898            0.142857      15.639459               0.000000          0.837500
242               nico                                               [11]                                               []             0.755102       18.244898            0.666667      16.679868               0.000000          0.834025
243               nico                                               [11]                                               []             0.755102       18.244898            0.571429      16.622786               0.000000          0.830579
244               nico                                               [11]                                               []             0.755102       18.244898            0.285714      16.432310               0.000000          0.827160
245            zmwangx                                                [5]                                               []             0.877551       18.244898            0.000000       0.000000               0.356557          2.647541
246               nico                                     [7, 8, 11, 18]                                               []             2.300000       17.900000            0.945471      16.450762               0.093878          1.106122
247               nico                                               [11]                                               []             0.740000       17.940000            0.500000      19.218923               0.000000          0.973577
248               nico                                                [7]                                               []             0.620000       17.940000            0.484848      19.942855               0.000000          0.942870
249           wlangfor                                                [5]                                               []             0.880000       17.940000            0.090909       6.527686               0.272727          2.530792
250               nico                                                [9]                                               []             0.640000       17.940000            0.159091      19.216678               0.000000          0.987587
251               nico                                                [5]                                               []             0.880000       17.940000            0.285714      18.221124               0.250000          0.962000
252               nico                                                [5]                                               []             0.880000       17.940000            0.142857      17.550938               0.000000          0.709163
253               nico                                [9, 10, 11, 15, 18]                                               []             3.080000       17.940000            3.132540      17.584957               0.107143          0.706349
254           wlangfor                                               [74]                                               []             0.600000       17.960000            0.333333       7.819074               0.063241          2.987154
